customer_id,cust_total_loans,cust_avg_interest,cust_avg_duration,cust_max_amount,cust_avg_amount,cust_loan_types
145,1,0.08537931034482758,30.0,14500.0,14500.0,1
161,1,0.06,30.0,11025.0,11025.0,1
166,1,0.17565039959190615,30.0,5881.0,5881.0,1
1487,1,0.12142857142857143,30.0,7000.0,7000.0,1
4534,2,0.09287277090861576,30.0,40565.0,25065.0,1
6083,3,0.06666666666666667,30.0,15000.0,12333.333333333334,1
7154,14,0.031758302312801794,7.0,34047.0,21949.0,1
7411,38,0.004451186889517485,7.0,14097.0,6084.5526315789475,1
7651,8,0.037187662232241604,7.0,10394.0,8247.75,1
8256,8,0.03511958760686017,7.0,6880.0,5739.125,1
8454,60,0.11731037291419608,7.0,180890.0,38711.63333333333,1
8532,3,0.06833333333333334,30.0,15000.0,13333.333333333334,1
10191,1,0.1111,30.0,10000.0,10000.0,1
12276,1,0.1047,30.0,10000.0,10000.0,1
12897,88,6.839600567326869e-05,7.0,19026.0,9844.477272727272,1
12921,1,0.06545454545454546,30.0,11000.0,11000.0,1
13233,1,0.1155,30.0,4000.0,4000.0,1
14362,30,0.012861100152000805,7.0,32098.0,19136.666666666668,1
14667,2,0.10516369047619048,45.0,67200.0,39100.0,1
14932,9,0.02036983183655564,7.0,7443.0,5082.444444444444,1
15493,1,0.07,30.0,10000.0,10000.0,1
16640,1,0.1111,30.0,10000.0,10000.0,1
17894,5,0.07822,30.0,10600.0,10120.0,1
18760,1,0.0895911858509713,30.0,10347.0,10347.0,1
20258,1,0.1524125,121.0,80000.0,80000.0,1
20980,1,0.07163057887759611,30.0,22630.0,22630.0,1
22867,1,0.10469724770642203,30.0,27250.0,27250.0,1
23020,2,0.03666666666666667,7.0,1500.0,1500.0,1
23284,1,0.1127906976744186,14.0,21500.0,21500.0,1
24142,1,0.1142,30.0,5000.0,5000.0,1
24562,1,0.3336,30.0,10000.0,10000.0,1
25626,1,0.06,30.0,10000.0,10000.0,1
26464,3,0.06639821449799839,7.0,5378.0,3731.6666666666665,1
27288,2,0.07,30.0,52000.0,52000.0,1
27525,1,0.1657,30.0,10000.0,10000.0,1
28083,1,0.07508592579536441,30.0,11347.0,11347.0,1
28428,13,0.029680549177730702,7.0,2927.0,2291.0,1
29290,1,0.1111,30.0,10000.0,10000.0,1
32272,1,0.1206896551724138,30.0,7250.0,7250.0,1
32510,1,0.1111,30.0,10000.0,10000.0,1
33419,5,0.09128,42.0,30000.0,20000.0,1
34369,1,0.15012106537530268,30.0,2065.0,2065.0,1
34823,10,0.05168897999143364,14.0,60000.0,59240.0,1
35394,1,0.1,30.0,9690.0,9690.0,1
36291,1,0.06909288430200977,30.0,36820.0,36820.0,1
40047,16,0.027181105029602567,7.0,81165.0,36506.0625,1
41868,1,0.226075,120.0,80000.0,80000.0,1
42928,1,0.09753571428571428,14.0,28000.0,28000.0,1
43115,8,0.07444287053150159,7.0,7124.0,5136.0,1
44393,1,0.07503467406380028,30.0,14420.0,14420.0,1
44564,1,0.07053211009174312,30.0,27250.0,27250.0,1
